ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-05-04T22:00:05.241268506Z,2025-05-04T22:00:05.240653735Z,0,1,42005804,T,B,0,20183.500000000,1,0,14317,25801,NQM5
2025-05-04T22:00:05.425952995Z,2025-05-04T22:00:05.425535601Z,0,1,42005804,T,A,0,20177.250000000,1,0,14089,26368,NQM5
2025-05-04T22:00:05.426329403Z,2025-05-04T22:00:05.425962243Z,0,1,42005804,T,A,0,20177.250000000,1,0,14322,26372,NQM5
2025-05-04T22:00:05.532101681Z,2025-05-04T22:00:05.531635331Z,0,1,42005804,T,B,0,20178.500000000,3,0,13928,26490,NQM5
2025-05-04T22:00:05.532229123Z,2025-05-04T22:00:05.531639439Z,0,1,42005804,T,A,0,20178.000000000,1,0,14002,26492,NQM5
2025-05-04T22:00:05.565142456Z,2025-05-04T22:00:05.564673349Z,0,1,42005804,T,B,0,20178.750000000,1,0,14006,26558,NQM5
2025-05-04T22:00:06.189167175Z,2025-05-04T22:00:06.188832377Z,0,1,42005804,T,B,0,20181.750000000,1,0,14228,27532,NQM5
2025-05-04T22:00:06.189515507Z,2025-05-04T22:00:06.189170473Z,0,1,42005804,T,B,0,20181.750000000,1,0,13698,27534,NQM5
2025-05-04T22:00:06.461042992Z,2025-05-04T22:00:06.460666311Z,0,1,42005804,T,B,0,20180.750000000,1,0,13527,27649,NQM5
2025-05-04T22:00:06.461253305Z,2025-05-04T22:00:06.460669091Z,0,1,42005804,T,B,0,20180.750000000,1,0,13727,27651,NQM5
2025-05-04T22:00:06.463030064Z,2025-05-04T22:00:06.462554157Z,0,1,42005804,T,B,0,20183.500000000,1,0,13687,27663,NQM5
2025-05-04T22:00:06.496609979Z,2025-05-04T22:00:06.496202841Z,0,1,42005804,T,A,0,20180.000000000,1,0,13495,27718,NQM5
2025-05-04T22:00:06.961131631Z,2025-05-04T22:00:06.960698371Z,0,1,42005804,T,B,0,20183.500000000,1,0,77722,27938,NQM5
2025-05-04T22:00:07.313169671Z,2025-05-04T22:00:07.312810659Z,0,1,42005804,T,B,0,20183.500000000,2,0,13837,28133,NQM5
2025-05-04T22:00:07.397036809Z,2025-05-04T22:00:07.395438223Z,0,1,42005804,T,B,0,20183.750000000,8,0,14209,28165,NQM5
2025-05-04T22:00:07.399267339Z,2025-05-04T22:00:07.398863635Z,0,1,42005804,T,B,0,20185.000000000,1,0,14405,28265,NQM5
2025-05-04T22:00:07.810366266Z,2025-05-04T22:00:07.810036155Z,0,1,42005804,T,B,0,20186.250000000,1,0,13828,28687,NQM5
2025-05-04T22:00:07.810797713Z,2025-05-04T22:00:07.810231927Z,0,1,42005804,T,A,0,20186.250000000,1,0,13084,28691,NQM5
2025-05-04T22:00:07.812328518Z,2025-05-04T22:00:07.811769621Z,0,1,42005804,T,A,0,20185.250000000,1,0,14459,28732,NQM5
2025-05-04T22:00:07.812778004Z,2025-05-04T22:00:07.812211013Z,0,1,42005804,T,B,0,20185.750000000,1,0,13095,28740,NQM5
2025-05-04T22:00:07.817226724Z,2025-05-04T22:00:07.816787931Z,0,1,42005804,T,A,0,20184.500000000,1,0,13305,28805,NQM5
2025-05-04T22:00:07.886309190Z,2025-05-04T22:00:07.885910117Z,0,1,42005804,T,B,0,20185.500000000,1,0,13644,28911,NQM5
2025-05-04T22:00:08.031693123Z,2025-05-04T22:00:08.031371979Z,0,1,42005804,T,A,0,20183.750000000,1,0,14100,28996,NQM5
2025-05-04T22:00:08.079937116Z,2025-05-04T22:00:08.079203789Z,0,1,42005804,T,B,0,20184.500000000,2,0,13606,29060,NQM5
2025-05-04T22:00:08.080086246Z,2025-05-04T22:00:08.079463821Z,0,1,42005804,T,A,0,20183.750000000,1,0,13358,29062,NQM5
2025-05-04T22:00:08.490244930Z,2025-05-04T22:00:08.489882081Z,0,1,42005804,T,A,0,20184.000000000,1,0,13803,29311,NQM5
2025-05-04T22:00:08.556069090Z,2025-05-04T22:00:08.555648509Z,0,1,42005804,T,B,0,20185.000000000,1,0,14385,29347,NQM5
2025-05-04T22:00:08.667319106Z,2025-05-04T22:00:08.666957709Z,0,1,42005804,T,B,0,20185.000000000,1,0,16356,29362,NQM5
2025-05-04T22:00:08.921517351Z,2025-05-04T22:00:08.921058885Z,0,1,42005804,T,B,0,20185.250000000,2,0,13728,29546,NQM5
2025-05-04T22:00:09.266472413Z,2025-05-04T22:00:09.265863619Z,0,1,42005804,T,B,0,20185.500000000,2,0,14548,29710,NQM5
2025-05-04T22:00:09.267296602Z,2025-05-04T22:00:09.266772565Z,0,1,42005804,T,B,0,20186.250000000,1,0,13591,29735,NQM5
2025-05-04T22:00:09.329124918Z,2025-05-04T22:00:09.328710877Z,0,1,42005804,T,A,0,20186.000000000,1,0,14358,29893,NQM5
2025-05-04T22:00:09.329522445Z,2025-05-04T22:00:09.329190165Z,0,1,42005804,T,A,0,20186.500000000,3,0,12804,29900,NQM5
2025-05-04T22:00:09.571335434Z,2025-05-04T22:00:09.571036859Z,0,1,42005804,T,A,0,20183.500000000,1,0,14075,29987,NQM5
2025-05-04T22:00:09.596873920Z,2025-05-04T22:00:09.596528619Z,0,1,42005804,T,A,0,20184.000000000,1,0,13960,30120,NQM5
2025-05-04T22:00:09.791071730Z,2025-05-04T22:00:09.790641111Z,0,1,42005804,T,B,0,20184.750000000,1,0,73527,30292,NQM5
2025-05-04T22:00:09.916855026Z,2025-05-04T22:00:09.916553153Z,0,1,42005804,T,A,0,20182.500000000,1,0,13596,30323,NQM5
2025-05-04T22:00:09.998982205Z,2025-05-04T22:00:09.997856009Z,0,1,42005804,T,A,0,20182.500000000,1,0,14337,30380,NQM5
2025-05-04T22:00:10.069359003Z,2025-05-04T22:00:10.069060479Z,0,1,42005804,T,A,0,20177.000000000,1,0,13656,30798,NQM5
2025-05-04T22:00:10.069761069Z,2025-05-04T22:00:10.069368203Z,0,1,42005804,T,A,0,20176.750000000,1,0,12770,30807,NQM5
2025-05-04T22:00:10.163546769Z,2025-05-04T22:00:10.163201243Z,0,1,42005804,T,A,0,20175.750000000,1,0,14140,30950,NQM5
